Locus_tag	caec-3-291	caec-3-292	caec-3-293	caec-3-294	caec-3-295	caec-4-291	caec-4-292	caec-4-294	caec-6-141	caec-8-141	caec-8-142	caec-8-143	Bw1	Bw2	Bw3	Class_curated	Subsystem Name	Product PATRIC											
WCP94_000041	3329	1761	575	824	1256	1100	994	1392	684	576	4040	1192	384	866	747	#N/A	#N/A	hypothetical protein											
WCP94_000042	1	3	1	2	1	0	3	0	1	0	3	4	0	0	1	#N/A	#N/A	#N/A											
WCP94_000043	815	434	129	196	300	330	272	317	189	168	1153	357	126	225	177	#N/A	#N/A	hypothetical protein											
WCP94_000044	1101	976	179	395	511	548	512	620	226	183	1889	561	166	336	361	#N/A	#N/A	hypothetical protein											
WCP94_000045	685	456	88	534	562	265	188	840	93	77	591	107	477	844	687	#N/A	#N/A	hypothetical protein											
WCP94_000046	1045	556	63	497	578	391	245	749	63	74	600	215	3584	6484	5451	#N/A	#N/A	"two component transcriptional regulator, winged helix family"											
WCP94_000047	121	87	19	80	149	37	29	162	14	17	131	49	20	28	24	#N/A	#N/A	hypothetical protein											
WCP94_000048	84	40	13	23	41	37	25	77	8	5	107	18	25	37	22	#N/A	#N/A	#N/A											
WCP94_000049	236	166	19	142	141	98	118	297	24	41	221	81	44	64	90	Respiration	Formate dehydrogenase	Formate dehydrogenase O gamma subunit (EC 1.2.1.2)											
WCP94_000050	486	331	39	246	365	181	222	469	78	62	556	141	70	156	111	#N/A	#N/A	"Quad-[4Fe-4S] ferredoxin, HycB/HydN/HyfA family"											
WCP94_000051	812	820	120	595	670	416	446	894	150	136	1305	256	324	514	454	#N/A	#N/A	hypothetical protein											
WCP94_000052	117	121	19	74	55	97	75	89	9	26	288	30	70	144	149	#N/A	#N/A	#N/A											
WCP94_000053	428	291	41	84	132	232	134	192	63	57	744	81	108	225	174	#N/A	#N/A	hypothetical protein											
WCP94_000054	498	231	38	314	327	107	96	227	37	44	300	73	7358	13606	10899	#N/A	#N/A	"Two-component transcriptional response regulator, AtoC family"											
WCP94_000055	232	139	16	377	156	49	55	115	29	34	90	46	326	427	455	#N/A	#N/A	"2,4-dienoyl-CoA reductase"											
WCP94_000056	112	99	20	437	143	36	55	90	21	18	70	33	304	535	454	#N/A	#N/A	"2,4-dienoyl-CoA reductase"											
WCP94_000057	190	108	28	386	136	72	27	68	22	9	36	16	1022	1963	1636	#N/A	#N/A	"TRAP-type uncharacterized transport system, fused permease component"											
WCP94_000058	87	45	12	120	46	59	22	47	13	4	42	29	27	94	54	#N/A	#N/A	"TRAP transporter solute receptor, TAXI family precursor"											
WCP94_000059	81	45	27	260	101	23	48	72	24	14	50	20	92	139	130	#N/A	#N/A	hypothetical protein											
WCP94_000060	34	25	22	207	53	25	16	57	14	2	25	7	37	70	69	#N/A	#N/A	Aspartate aminotransferase (EC 2.6.1.1)											
WCP94_000061	82	59	33	315	99	17	16	99	10	17	34	28	113	175	191	#N/A	#N/A	4-hydroxy-2-oxovalerate aldolase											
WCP94_000062	454	347	138	905	262	82	65	101	106	42	46	37	480	1058	855	#N/A	#N/A	TonB domain protein											
WCP94_000063	365	330	103	521	173	86	65	88	69	50	54	52	392	718	573	#N/A	#N/A	Biopolymer transport protein ExbD/TolR											
WCP94_000064	1332	1064	274	1617	726	311	276	259	234	190	112	263	1196	2100	1860	#N/A	#N/A	MotA/TolQ/ExbB proton channel family protein											
WCP94_000065	2331	1671	317	2126	1023	502	494	428	430	278	238	317	2300	4315	3600	#N/A	#N/A	"Metal chaperone, involved in Zn homeostasis"											
WCP94_000066	1536	673	139	1005	490	282	209	304	212	116	112	111	671	1641	1177	#N/A	#N/A	"Metal chaperone, involved in Zn homeostasis"											
WCP94_000067	633	180	26	238	129	85	70	111	69	39	21	34	79	276	230	#N/A	#N/A	#N/A											
WCP94_000068	14581	3683	874	3699	2064	2271	1269	1251	1101	818	665	725	3849	9950	7361	#N/A	#N/A	Metal-dependent hydrolases of the beta-lactamasesuperfamily II											
WCP94_000069	13492	3002	507	2869	1750	1857	1104	1232	1033	613	583	696	3641	8528	6807	#N/A	#N/A	hypothetical protein											
WCP94_000070	1157	543	54	818	374	143	130	140	95	83	36	91	988	1912	1657	#N/A	#N/A	hypothetical protein											
WCP94_000071	5585	3551	220	4798	2676	499	597	862	656	297	269	510	15959	28294	25172	#N/A	#N/A	"Transcriptional regulator, GntR family"											
WCP94_000072	1	2	0	1	2	0	0	0	0	2	1	0	0	8	4	#N/A	#N/A	#N/A											
WCP94_000073	3	0	0	0	4	0	0	0	0	0	1	0	0	1	0	#N/A	#N/A	#N/A											
WCP94_000074	919	710	96	820	811	243	135	387	81	88	330	75	926	1936	1691	#N/A	#N/A	hypothetical protein											
WCP94_000075	318	229	35	342	296	95	80	206	58	19	152	25	248	421	365	#N/A	#N/A	Phenazine biosynthesis protein PhzF like											
WCP94_000076	26	16	2	30	6	11	6	39	5	7	13	2	12	10	11	#N/A	#N/A	#N/A											
WCP94_000077	218	148	22	246	189	59	76	136	36	31	115	46	166	277	244	#N/A	#N/A	RidA/YER057c/UK114 superfamily protein											
WCP94_000078	383	253	36	272	306	125	137	230	23	36	218	61	260	531	330	#N/A	#N/A	peptidase M24											
WCP94_000079	4	1	0	4	6	3	2	7	0	0	5	0	1	3	1	#N/A	#N/A	#N/A											
WCP94_000080	246	118	19	201	190	143	103	188	40	24	185	50	183	260	237	#N/A	#N/A	peptidase M24											
WCP94_000081	114	56	16	75	40	77	37	93	9	12	94	17	67	124	99	#N/A	#N/A	"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"											
WCP94_000082	56	44	5	36	33	52	51	66	9	13	85	22	28	58	65	#N/A	#N/A	"ABC transporter, ATP-binding protein (cluster 3,basic aa/glutamine/opines)"											
WCP94_000083	259	126	14	88	100	105	63	108	14	18	160	70	356	675	516	#N/A	#N/A	"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"											
WCP94_000084	339	107	6	56	34	226	111	79	22	27	304	54	265	511	407	#N/A	#N/A	"Glutamine ABC transporter, substrate-binding protein GlnH"											
WCP94_000085	7	6	0	17	13	6	4	9	0	0	2	0	20	48	53	#N/A	#N/A	#N/A											
WCP94_000086	0	2	0	3	2	0	1	6	0	0	1	0	4	5	4	#N/A	#N/A	#N/A											
WCP94_000087	83	78	6	175	96	39	32	52	25	18	56	24	227	453	362	#N/A	#N/A	"Acetyl-CoA synthetase (ADP-forming) alpha and beta chains, putative"											
WCP94_000088	82	50	4	119	71	61	26	41	18	29	60	22	138	165	135	Amino Acids and Derivatives	Indole-pyruvate oxidoreductase complex	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)											
WCP94_000089	26	15	3	22	21	17	5	15	0	8	9	4	11	39	33	Amino Acids and Derivatives	Aromatic amino acid interconversions with aryl acids	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)											
WCP94_000090	117	160	17	236	172	82	45	143	28	35	123	32	214	285	300	#N/A	#N/A	N-acyl-D-amino-acid deacylase (EC 3.5.1.81)											
WCP94_000091	937	849	162	967	949	229	179	549	137	125	427	77	957	2151	1776	#N/A	#N/A	#N/A											
WCP94_000092	128	197	22	194	204	35	43	90	30	16	81	30	99	197	176	#N/A	#N/A	#N/A											
WCP94_000093	687	735	100	1063	854	180	139	556	186	82	367	121	354	733	617	Nucleosides and Nucleotides	De Novo Pyrimidine Synthesis	Dihydroorotase (EC 3.5.2.3)											
WCP94_000094	265	396	56	553	603	54	43	445	61	45	119	48	335	569	480	#N/A	#N/A	"Acetyltransferase, GNAT family"											
WCP94_000095	3	10	0	22	8	2	0	4	0	0	5	1	15	44	26	#N/A	#N/A	#N/A											
WCP94_000096	859	1136	117	1320	1107	139	144	396	153	98	226	47	952	1698	1534	#N/A	#N/A	#N/A											
WCP94_000097	9	16	1	40	9	0	3	11	0	1	2	0	8	15	9	#N/A	#N/A	#N/A											
WCP94_000098	301	481	68	607	583	54	71	275	63	35	130	38	188	427	347	#N/A	#N/A	"Two-component transcriptional response regulator, AtoC family"											
WCP94_000099	14	2	1	14	8	0	1	7	0	2	2	0	0	4	2	#N/A	#N/A	#N/A											
WCP94_000100	49	18	6	90	73	13	9	42	6	7	33	2	94	119	114	#N/A	#N/A	gluconate transporter											
WCP94_000101	38	40	13	82	49	18	20	23	16	6	14	12	70	85	99	#N/A	#N/A	#N/A											
WCP94_000102	41	14	6	66	26	12	8	21	0	4	25	9	54	70	85	#N/A	#N/A	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases											
WCP94_000103	83	80	8	87	142	18	43	36	24	17	41	23	214	309	263	#N/A	#N/A	3-oxo-tetronate kinase											
WCP94_000104	104	77	14	147	114	43	27	41	40	6	29	15	94	183	153	Amino Acids and Derivatives	Aspartate to Homoserine module	Homoserine dehydrogenase (EC 1.1.1.3)											
WCP94_000105	9	13	0	5	11	0	0	1	0	0	5	2	24	64	27	#N/A	#N/A	#N/A											
WCP94_000106	96	112	17	118	116	24	23	32	7	11	40	4	214	377	315	#N/A	#N/A	#N/A											
WCP94_000107	2041	1934	242	1359	1569	1268	698	716	367	279	1002	280	2126	4511	3512	#N/A	#N/A	hypothetical protein											
WCP94_000108	478	279	38	179	261	237	91	102	54	26	189	67	194	417	336	#N/A	#N/A	FIG00607013: hypothetical protein											
WCP94_000109	236	187	22	115	118	57	44	85	37	27	68	17	74	120	120	#N/A	#N/A	hypothetical protein											
WCP94_000110	81	45	15	58	46	21	17	48	19	8	63	1	27	41	37	#N/A	#N/A	BCCT family transporter											
WCP94_000111	3	3	0	4	2	0	3	1	2	0	0	0	1	6	9	#N/A	#N/A	#N/A											
WCP94_000112	558	319	51	452	350	135	59	429	89	34	324	77	1823	3418	2815	#N/A	#N/A	Uncharacterized MFS-type transporter											
WCP94_000113	2	2	0	3	0	6	0	0	0	0	0	0	4	3	0	#N/A	#N/A	#N/A											
WCP94_000114	3375	1947	263	1819	2069	685	697	1395	399	201	1707	381	1430	3009	2610	#N/A	#N/A	Exoenzymes regulatory protein AepA precursor											
WCP94_000115	42	24	2	9	21	8	12	30	4	5	27	4	414	930	802	#N/A	#N/A	#N/A											
WCP94_000116	1444	796	130	853	768	487	382	584	156	101	785	242	1065	2287	1776	#N/A	#N/A	Amidohydrolase family protein											
WCP94_000117	2206	1046	155	1774	1422	349	166	1626	172	70	312	81	32487	63585	57251	#N/A	#N/A	"Transcriptional regulator, GntR family"											
WCP94_000118	4432	1899	322	3418	3434	826	367	2348	328	115	603	204	3732	7424	6021	"Protein Fate (folding, modification, targeting, degradation)"	Oligopeptide degradation cluster	beta-peptidyl aminopeptidase (EC 3.4.11.25)											
WCP94_000119	2791	1582	250	1885	2240	1169	524	2051	274	138	993	333	1182	2414	1794	#N/A	#N/A	Alkanesulfonates-binding protein											
WCP94_000120	780	796	181	1911	2269	290	229	890	176	61	229	146	323	634	556	#N/A	#N/A	Uncharacterized transporter YwfM											
WCP94_000121	773	708	172	1641	1435	142	131	862	160	79	192	106	2144	4022	3517	Membrane Transport	Tripartite multidrug efflux systems (of MFS type) EmrKY-TolC and EmrAB-TolC	"Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA"											
WCP94_000122	309	239	58	654	684	36	59	473	24	25	123	51	281	472	367	Membrane Transport	Tripartite multidrug efflux systems (of MFS type) EmrKY-TolC and EmrAB-TolC	"Multidrug efflux system EmrAB-OMF, inner- membrane proton/drug antiporter EmrB (MFS type)"											
WCP94_000123	176	160	32	587	608	19	54	201	38	15	92	43	249	490	466	#N/A	#N/A	"Transcriptional regulator, AcrR family"											
WCP94_000124	32	16	9	89	38	3	6	46	2	2	1	6	8	35	28	#N/A	#N/A	#N/A											
WCP94_000125	20	22	16	86	31	6	4	15	1	4	21	4	172	280	220	#N/A	#N/A	#N/A											
WCP94_000126	589	539	161	1306	1240	225	155	1243	114	102	521	126	596	1124	936	#N/A	#N/A	"ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)"											
WCP94_000127	1336	2178	377	3798	4217	473	483	2758	260	253	1275	481	589	1080	1004	Regulation and Cell signaling	Cyclic Di-GMP Turnover Proteins	Diguanylate cyclase											
WCP94_000128	682	881	143	1047	1215	166	109	826	78	61	651	70	123	217	250	#N/A	#N/A	DNA-binding protein HU											
WCP94_000129	4114	6215	797	7085	8538	1437	1059	3540	702	375	3923	750	1472	2488	2093	#N/A	#N/A	hypothetical protein											
WCP94_000130	4063	3501	611	4137	4063	917	554	2914	312	248	2014	278	14156	27438	24310	Clustering-based subsystems	Cell division related cluster	Chromosome (plasmid) partitioning protein ParA											
WCP94_000131	38	14	4	17	10	2	6	15	0	1	18	6	67	117	125	#N/A	#N/A	#N/A											
WCP94_000132	7	0	0	16	13	1	5	14	0	1	6	2	29	73	64	#N/A	#N/A	#N/A											
WCP94_000133	0	2	0	11	2	0	2	5	0	1	0	0	2	2	0	#N/A	#N/A	#N/A											
WCP94_000134	8	6	0	10	2	1	0	15	0	0	0	1	9	14	18	#N/A	#N/A	#N/A											
WCP94_000135	4	2	2	16	3	3	0	7	0	0	1	1	8	23	18	#N/A	#N/A	#N/A											
WCP94_000136	6	7	0	6	9	1	0	2	0	1	1	0	27	50	47	#N/A	#N/A	#N/A											
WCP94_000137	1334	812	118	804	969	367	293	742	121	73	555	139	561	914	825	#N/A	#N/A	cofactor modifying protein (cmo)											
WCP94_000138	1044	467	52	446	553	327	228	517	64	45	504	129	350	579	540	#N/A	#N/A	hypothetical protein											
WCP94_000139	249	69	26	65	61	79	45	103	13	8	119	28	40	105	69	#N/A	#N/A	#N/A											
WCP94_000140	3140	1997	245	2233	2272	898	601	1242	374	205	1570	366	2434	4871	4350	#N/A	#N/A	hypothetical protein											
WCP94_000141	6	5	0	17	2	1	0	0	0	2	3	1	5	14	16	#N/A	#N/A	#N/A											
WCP94_000142	1957	584	171	389	384	606	386	121	120	63	694	278	44260	91872	78459	Metabolite damage and its repair or mitigation	Metabolite repair	Alkyl hydroperoxide reductase protein C (EC 1.11.1.15)											
WCP94_000143	2529	1297	232	1096	1093	716	788	263	180	165	1057	454	32941	63246	54589	Metabolite damage and its repair or mitigation	Metabolite repair	Alkyl hydroperoxide reductase protein F											
WCP94_000144	4	3	2	7	8	0	1	5	0	0	2	0	64	122	101	#N/A	#N/A	#N/A											
WCP94_000145	1454	1071	123	1405	1089	729	570	798	176	145	866	244	1636	3193	2774	#N/A	#N/A	hypothetical protein											
WCP94_000146	325	220	26	349	261	143	115	147	43	32	188	31	1111	2301	1793	#N/A	#N/A	hypothetical protein											
WCP94_000147	77	56	17	173	87	35	22	82	7	7	38	24	38	53	47	#N/A	#N/A	#N/A											
WCP94_000148	894	744	66	1058	853	198	183	396	142	65	382	107	415	705	654	#N/A	#N/A	HIPA PROTEIN											
WCP94_000149	403	264	30	409	311	62	69	139	48	39	118	29	293	674	614	#N/A	#N/A	Transcriptional regulator											
WCP94_000150	1418	739	78	908	571	198	182	303	128	78	326	69	256	617	529	#N/A	#N/A	MltA-interacting MipA family protein											
WCP94_000151	1954	1196	92	1362	1122	241	256	459	252	118	669	163	886	1937	1687	#N/A	#N/A	"Two-component transcriptional response regulator, AtoC family"											
WCP94_000152	2960	2318	220	2955	1983	360	569	725	394	154	921	267	1986	3949	3316	#N/A	#N/A	integral membrane sensor signal transduction histidine kinase											
WCP94_000153	107	120	11	184	37	16	20	24	13	5	27	16	171	258	227	#N/A	#N/A	#N/A											
WCP94_000154	7807	9105	502	9635	6005	785	1487	570	1275	456	1822	513	5843	11503	11389	#N/A	#N/A	2-hydroxy-3-keto-5-methylthiopentenyl-1- phosphate phosphatase related protein											
WCP94_000155	3	4	2	15	3	0	0	0	2	0	2	0	0	3	3	#N/A	#N/A	#N/A											
WCP94_000156	9513	10373	705	10848	5679	1026	1607	683	2199	670	1674	532	2186	5967	4582	#N/A	#N/A	"Aminotransferase, class III"											
WCP94_000157	3866	5250	276	5364	3440	437	888	429	1104	311	913	341	2085	3860	3541	#N/A	#N/A	"Hydrolase, alpha/beta fold family"											
WCP94_000158	512	605	37	897	523	59	108	96	106	57	105	61	161	392	307	#N/A	#N/A	Permease of the drug/metabolite transporter (DMT) superfamily											
WCP94_000159	942	1249	96	1465	757	131	199	155	231	76	182	92	177	396	342	#N/A	#N/A	hypothetical protein											
WCP94_000160	1467	2529	167	2494	1305	160	435	262	493	179	390	218	784	1409	1218	#N/A	#N/A	#N/A											
WCP94_000161	1066	1641	121	1760	1109	166	331	229	278	140	241	96	493	912	881	#N/A	#N/A	FIG110192: hypothetical protein											
WCP94_000162	1237	1893	70	1529	987	126	303	211	350	126	337	179	836	1546	1348	#N/A	#N/A	FIG01210093: hypothetical protein											
WCP94_000163	3990	2980	456	3238	3323	1119	674	2337	510	311	1747	403	504	1215	869	"Cell Envelope, Capsule and Slime layer"	KDO2-Lipid A biosynthesis	D-arabinose-5-phosphate isomerase (EC 5.3.1.13)											
WCP94_000164	419	348	76	313	221	91	69	275	77	43	172	43	59	130	84	#N/A	#N/A	#N/A											
WCP94_000165	1479	1175	220	1323	1139	385	258	1470	226	162	605	135	334	763	651	#N/A	#N/A	"Capsular polysaccharide ABC transporter, permease protein KpsM"											
WCP94_000166	884	656	154	891	670	204	146	866	157	73	445	138	114	286	178	#N/A	#N/A	"Capsular polysaccharide ABC transporter, ATP- binding protein KpsT"											
WCP94_000167	3903	3128	624	3413	3690	1051	622	3206	544	367	1963	607	593	1367	1086	#N/A	#N/A	#N/A											
WCP94_000168	4439	3738	672	3929	4303	1108	720	3773	668	378	1908	617	465	1070	928	#N/A	#N/A	Capsular polysaccharide export system periplasmic protein KpsD											
WCP94_000169	1704	821	199	900	409	425	107	915	175	107	487	150	91	133	138	#N/A	#N/A	hypothetical protein											
WCP94_000170	0	0	1	0	0	0	0	3	0	0	0	0	0	2	1	#N/A	#N/A	#N/A											
WCP94_000171	7	2	0	2	2	0	2	3	0	0	0	0	16	24	19	#N/A	#N/A	#N/A											
WCP94_000172	180	297	57	630	408	40	54	186	24	30	94	34	733	1446	1267	#N/A	#N/A	hypothetical protein											
WCP94_000173	4	1	4	13	15	0	0	7	0	0	4	0	26	19	30	#N/A	#N/A	#N/A											
WCP94_000174	3	2	2	19	22	1	3	9	1	0	1	0	2	10	13	#N/A	#N/A	#N/A											
WCP94_000175	219	261	19	169	235	48	36	78	32	22	82	18	128	289	283	#N/A	#N/A	hypothetical protein											
WCP94_000176	92	164	20	129	198	32	24	69	20	16	47	16	117	254	231	#N/A	#N/A	Uncharacterized protein YbbK											
WCP94_000177	349	410	43	238	213	59	45	107	32	31	92	52	402	586	600	#N/A	#N/A	hypothetical protein											
WCP94_000178	43	71	15	113	84	9	4	78	11	12	33	1	103	175	124	#N/A	#N/A	hypothetical protein											
WCP94_000179	5	9	1	25	30	2	0	19	2	2	2	2	5	11	19	#N/A	#N/A	#N/A											
WCP94_000180	40	16	2	58	97	6	11	67	9	2	19	2	27	47	39	#N/A	#N/A	hypothetical protein											
WCP94_000181	17	6	5	23	29	0	2	38	0	3	4	0	14	26	23	#N/A	#N/A	hypothetical protein											
WCP94_000182	93	33	3	15	12	19	12	54	4	3	38	9	41	52	76	#N/A	#N/A	#N/A											
WCP94_000183	116	46	12	72	23	32	8	45	7	12	48	12	43	39	61	#N/A	#N/A	hypothetical protein											
WCP94_000184	229	86	23	156	135	80	32	136	12	14	104	9	321	623	638	#N/A	#N/A	#N/A											
WCP94_000185	5	8	6	37	29	0	4	31	6	2	5	2	64	63	81	#N/A	#N/A	hypothetical protein											
WCP94_000186	6	0	3	21	9	0	7	11	0	0	2	2	4	18	3	#N/A	#N/A	hypothetical protein											
WCP94_000187	6	3	0	41	50	5	4	22	1	1	10	0	19	79	62	#N/A	#N/A	hypothetical protein											
WCP94_000188	21	17	6	76	36	8	6	34	8	8	11	10	71	93	123	#N/A	#N/A	#N/A											
WCP94_000189	8	1	1	30	34	1	6	13	2	0	4	0	17	21	9	#N/A	#N/A	hypothetical protein											
WCP94_000190	1	0	0	1	7	0	1	3	1	0	0	1	3	6	4	#N/A	#N/A	#N/A											
WCP94_000191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#N/A	#N/A	#N/A											
WCP94_000192	6	2	3	50	41	3	3	28	2	1	3	0	17	18	27	#N/A	#N/A	hypothetical protein											
WCP94_000193	47	19	4	71	21	25	11	36	3	4	18	3	43	71	71	#N/A	#N/A	hypothetical protein											
WCP94_000194	20	23	1	90	38	4	5	50	4	2	10	4	48	88	51	#N/A	#N/A	phosphoadenosine phosphosulfate reductase											
WCP94_000195	48	10	6	74	71	10	0	73	2	6	17	8	49	67	81	#N/A	#N/A	DNA methylase											
WCP94_000196	319	155	29	181	153	114	54	103	36	14	97	51	584	895	774	#N/A	#N/A	hypothetical protein											
WCP94_000197	10	16	4	73	42	3	4	40	0	2	15	12	41	45	49	#N/A	#N/A	hypothetical protein											
WCP94_000198	45	33	4	204	106	27	41	117	8	14	60	21	123	157	227	#N/A	#N/A	terminase											
WCP94_000199	337	277	53	584	464	78	63	241	44	48	116	57	661	1227	1061	#N/A	#N/A	hypothetical protein											
WCP94_000200	10314	2089	303	1569	1230	3969	1817	3371	351	509	4579	1563	11277	18470	18487	#N/A	#N/A	hypothetical protein											
WCP94_000201	311	76	16	92	160	106	68	279	25	25	240	73	1680	2993	2705	"Cell Cycle, Cell Division and Death"	Toxin-Antitoxin system HigAB	Antitoxin HigA											
WCP94_000202	76	42	4	43	52	49	15	137	13	14	66	18	1338	2303	2026	#N/A	#N/A	hypothetical protein											
WCP94_000203	1	0	0	2	0	0	0	0	0	0	0	0	0	6	1	#N/A	#N/A	#N/A											
WCP94_000204	10	8	2	19	19	4	5	19	0	2	14	4	49	72	72	#N/A	#N/A	hypothetical protein											
WCP94_000205	24	22	2	20	26	18	10	15	4	0	18	6	42	58	49	MICROCOMPARTMENT	#N/A	hypothetical protein											
WCP94_000206	6	10	2	11	2	2	2	11	0	2	0	1	24	36	28	#N/A	#N/A	hypothetical protein											
WCP94_000207	2	6	0	22	12	2	0	13	0	2	2	2	16	47	15	#N/A	#N/A	Phage protein											
WCP94_000208	12	9	0	11	19	1	0	3	4	0	1	1	28	58	58	#N/A	#N/A	hypothetical protein											
WCP94_000209	16	16	0	30	19	4	8	2	2	0	4	0	20	36	38	#N/A	#N/A	hypothetical protein											
WCP94_000210	19	8	2	24	19	9	6	6	1	1	11	0	34	87	81	#N/A	#N/A	hypothetical protein											
WCP94_000211	62	54	12	76	78	49	10	50	21	18	39	17	134	314	204	#N/A	#N/A	hypothetical protein											
